model,horizon,mae,rmse,mase,smape,directional_accuracy
chronos_t5_base,8,223.1714884440104,311.7589156061028,25.923042549116232,5.0048050731129905,0.9090909090909091
moving_average,8,244.60039876302085,355.0753053534601,28.41217123600165,5.501199069778923,0.8181818181818182
patchtst,8,292.7582707356772,388.486535002655,34.00606933170424,6.712483004899615,0.7272727272727273
chronos_t5_large,9,206.0203582763672,304.3215102210983,23.930810117450616,4.577475272487093,1.0
chronos_bolt_base,9,221.88402868200237,290.04321796427973,25.773494439617547,4.939956460774975,0.9090909090909091
chronos_bolt,9,222.96147551359948,301.4946626233447,25.89864797179426,5.011954613335207,0.9090909090909091
chronos_original,9,223.6502421061198,297.4712353773305,25.97865337843828,5.033504789756816,0.8181818181818182
chronos_t5_base,9,233.94523315429683,307.06134805551557,27.17449381865481,5.258787816906611,0.8181818181818182
sarima,9,234.49064981360664,309.02922072069504,27.237848055187726,5.24436045518953,0.8181818181818182
naive,9,234.9250284830729,300.57745440841853,27.288304396226238,5.312322045172787,0.8181818181818182
moving_average,9,251.09207763671876,351.4724760249147,29.166228435832036,5.672338072233672,0.6363636363636364
patchtst,9,280.28820058593755,374.3921820985004,32.55757713704262,6.4100821827235395,0.8181818181818182
chronos_t5_large,10,174.21520487467444,236.20401266394856,20.236402957012203,4.046502699580452,0.8181818181818182
chronos_original,10,190.37187398274742,251.3440936231528,22.11312127645669,4.383109120666431,0.8181818181818182
chronos_bolt,10,192.39170102719902,248.41215358890918,22.34773933981343,4.489683357587999,0.7272727272727273
chronos_bolt_base,10,199.03169533058448,251.49441609186505,23.119024489420408,4.574789521355489,0.8181818181818182
sarima,10,202.787757084755,252.67303795271985,23.55531923902906,4.694016374031546,0.7272727272727273
naive,10,203.00004069010416,235.9662758166163,23.57997757227904,4.7614971748036465,0.7272727272727273
chronos_t5_base,10,211.9824025472004,255.15706349664833,24.62334628499649,4.921022552539871,0.7272727272727273
moving_average,10,213.03877360026044,267.6136016202923,24.74605170739188,4.955259869146659,0.5454545454545454
patchtst,10,262.423204654948,331.9830308663324,30.482423841755004,6.131057470534638,0.7272727272727273
chronos_t5_large,11,161.11739501953141,215.96041982088565,18.71499408645081,3.7941715978126926,0.6363636363636364
naive,11,168.95001220703125,212.15635520046578,19.624811330750987,4.028645123801,0.6363636363636364
moving_average,11,173.90457356770835,223.21529832788886,20.200320800444118,4.095426143218149,0.36363636363636365
sarima,11,175.75973831611853,233.0267411337638,20.415812102867918,4.114254141331782,0.7272727272727273
chronos_bolt_base,11,183.65590865523725,235.79302386014535,21.333011522485528,4.250697210849749,0.6363636363636364
chronos_bolt,11,183.80594211154485,238.24738785900658,21.350439033942163,4.267324183854395,0.7272727272727273
chronos_t5_base,11,192.9428904215495,240.43190671006818,22.411764122826664,4.519151518530869,0.5454545454545454
chronos_original,11,196.57441711425784,249.3230155825737,22.83359319082138,4.547482523515093,0.7272727272727273
patchtst,11,239.9164337239583,298.7425423691828,27.86809355899743,5.807789447045493,0.6363636363636364
